Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Ebp,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Eno1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Eno2,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Eno3,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ephx2,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Epx,Androgen and estrogen synthesis and metabolism,Miscellaneous,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Esd,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ces3b,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ext1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ext2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp1,"Transport, endoplasmic reticular","Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsl1,Drug metabolism,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fah,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fasn,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fbp2,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fbp1,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fdft1,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fech,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1b8,Pentose phosphate pathway,Propanoate metabolism,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fh1,Citric acid cycle,Glutamate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Il4i1,Methionine and cysteine metabolism,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lpin1,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Folr1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Folr2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fpgs,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ftcd,Folate metabolism,Histidine metabolism,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fth1,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ftl1,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut1,Blood group synthesis,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut2,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut4,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut7,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut9,Blood group synthesis,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G6pc,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G6pc2,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G6pdx,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc37a4,"Transport, endoplasmic reticular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gaa,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a12,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a13,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gad1,Beta-Alanine metabolism,Glutamate metabolism,Taurine and hypotaurine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gad2,Glutamate metabolism,Taurine and hypotaurine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galc,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galnt1,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galnt2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt1,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt3,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt4,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galt,Galactose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gamt,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gapdh,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gapdhs,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gart,Purine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gba,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gch1,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gcnt1,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gcnt2,Blood group synthesis,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gda,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpd1,Glycerophospholipid metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpd2,Glycerophospholipid metabolism,Glycolysis/gluconeogenesis,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gfpt1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gfpt2,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggh,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggps1,Cholesterol metabolism,N-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galt1,Galactose metabolism,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggt1,Fatty acid oxidation,Glutathione metabolism,Leukotriene metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  
Gk2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gclc,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gclm,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galk1,Galactose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glul,Glutamate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hagh,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gls,Glutamate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glud1,Glutamate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a9,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gm2a,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gnmt,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Got1,Alanine and aspartate metabolism,Methionine and cysteine metabolism,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Got2,Alanine and aspartate metabolism,Arginine and proline metabolism,Methionine and cysteine metabolism,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  
Gpaa1,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpam,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpi1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigq,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx1,Arachidonic acid metabolism,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx2,Arachidonic acid metabolism,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx3,Arachidonic acid metabolism,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx5,Arachidonic acid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gsr,Glutamate metabolism,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gss,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gstm2,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gstz1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Guca1a,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gucy2c,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gucy2e,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Guk1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gk,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gys1,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
H2-Ke6,Propanoate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hadh,Fatty acid oxidation,Fatty acid synthesis,Steroid metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Hsd17b10,Fatty acid oxidation,Fatty acid synthesis,Steroid metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Hal,Histidine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hao1,"Glycine, serine, alanine, and threonine metabolism",Glyoxylate and dicarboxylate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Has1,Hyaluronan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Has2,Hyaluronan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Has3,Hyaluronan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hdc,Histidine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Heph,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hexa,Aminosugar metabolism,Chondroitin sulfate degradation,Glycosphingolipid metabolism,Hyaluronan metabolism,Keratan sulfate degradation,N-glycan degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  
Hexb,Aminosugar metabolism,Chondroitin sulfate degradation,Glycosphingolipid metabolism,Hyaluronan metabolism,Keratan sulfate degradation,N-glycan degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  
Hgd,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hk1,Aminosugar metabolism,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hk2,Aminosugar metabolism,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmbs,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmgcl,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmgcr,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmgcs2,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmox1,Heme degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmox2,Heme degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hpd,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hpgd,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lipc,Fatty acid oxidation,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hprt,Nucleotide salvage pathway,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs3st1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs3st3a1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd11b1,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd11b2,Propanoate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b1,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b2,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b3,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b4,Bile acid synthesis,Cholesterol metabolism,Drug metabolism,Fatty acid oxidation,Steroid metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  
Hsd17b7,Cholesterol metabolism,Miscellaneous,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b1,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b2,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b3,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b4,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b5,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b6,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndst1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Idh1,Citric acid cycle,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Idh3g,Citric acid cycle,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ido1,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ids,Chondroitin sulfate degradation,Heparan sulfate degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Idua,Chondroitin sulfate degradation,Heparan sulfate degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp5b,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp5d,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inppl1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Stt3a,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Itpa,Nucleotide interconversion,Nucleotide metabolism,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Kcnj11,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kcnj8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Khk,Fructose and mannose metabolism,Galactose metabolism,Glyoxylate and dicarboxylate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kl,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lalba,Galactose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Anpep,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lcat,Cholesterol metabolism,Fatty acid oxidation,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ldha,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Methionine and cysteine metabolism,Propanoate metabolism,Pyruvate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  
Ldhb,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Methionine and cysteine metabolism,Propanoate metabolism,Pyruvate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  
Ldhc,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Methionine and cysteine metabolism,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Lipa,Cholesterol metabolism,Miscellaneous,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lipe,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lipg,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Phyh,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lpl,Glycerophospholipid metabolism,"Transport, extracellular",Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lss,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lta4h,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ltc4s,Eicosanoid metabolism,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alad,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Amacr,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Man2b1,N-glycan degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Maoa,Arginine and proline metabolism,Phenylalanine metabolism,Tryptophan metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Cma1,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tpsb2,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcc1,"Transport, endoplasmic reticular","Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh11,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc3a2,Starch and sucrose metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Minpp1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mip,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndst2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Me1,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mdh2,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mdh1,Citric acid cycle,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mpo,Androgen and estrogen synthesis and metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
COX1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
COX2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
COX3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CYTB,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND4,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND4L,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND5,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
ND6,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mthfd2,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mthfr,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mmut,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mvk,Cholesterol metabolism,Squalene and cholesterol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Myo5b,Bile acid synthesis,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Naga,Glycosphingolipid metabolism,Keratan sulfate degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa4,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufs4,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufv1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neu1,Chondroitin sulfate degradation,Glycosphingolipid metabolism,Keratan sulfate degradation,N-glycan degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  
Nme1,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nme2,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nqo1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nnmt,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nnt,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nos1,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nos2,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nos3,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Npc1,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Npr1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc11a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc11a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nsd1,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nsdhl,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nsf,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Oat,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Odc1,Arginine and proline metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ogdh,Citric acid cycle,Lysine metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a6,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a15,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Otc,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
P4ha1,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
P4ha2,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pafah1b1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pafah1b2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pafah1b3,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prdx1,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pah,Phenylalanine metabolism,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pck1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
