Reaction_ID,Reaction_name,Subsystem
EX_dmantipyrine_e,Demethylated antipyrine exchange,Exchange/demand reaction
EX_dmhptcrn_e,"2,6 dimethylheptanoyl carnitine exchange",Exchange/demand reaction
EX_dopa_e,Dopamine exchange,Exchange/demand reaction
EX_dopasf_e,Dopamine 3-O-sulfate exchange,Exchange/demand reaction
EX_eaflatoxin_e,"8,9 epxoy aflatoxin B1 exchange",Exchange/demand reaction
EX_ebastine_e,Ebastine exchange,Exchange/demand reaction
EX_ebastineoh_e,Hydroxylated ebastine exchange,Exchange/demand reaction
EX_eicostet_e,Eicosatetranoic acid exchange,Exchange/demand reaction
EX_elaid_e,Elaidic acid exchange,Exchange/demand reaction
EX_estradiol_e,Estradiol exchange,Exchange/demand reaction
EX_estradiolglc_e,Estradiol glucuronide exchange,Exchange/demand reaction
EX_estriolglc_e,16-Glucuronide-estriol exchange,Exchange/demand reaction
EX_estroneglc_e,Estrone glucuronide exchange,Exchange/demand reaction
EX_estrones_e,Estrone 3-sulfate exchange,Exchange/demand reaction
EX_fuc13galacglcgal14acglcgalgluside_hs_e,III3Fuc-nLc6Cer exchange,Exchange/demand reaction
EX_fuc14galacglcgalgluside_hs_e,Lea glycolipid exchange,Exchange/demand reaction
EX_fucacgalfucgalacglcgalgluside_hs_e,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange,Exchange/demand reaction
EX_fucacngal14acglcgalgluside_hs_e,"IV3-a-NeuAc,III3-a-Fuc-nLc4Cer exchange",Exchange/demand reaction
EX_fucacngalacglcgalgluside_hs_e,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer exchange",Exchange/demand reaction
EX_fucfuc12gal14acglcgalgluside_hs_e,Ley glycolipid exchange,Exchange/demand reaction
EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,"V3Fuc,III3Fuc-nLc6Cer exchange",Exchange/demand reaction
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1 exchange,Exchange/demand reaction
EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1 exchange,Exchange/demand reaction
EX_fucfucgalacglcgalgluside_hs_e,Leb glycolipid exchange,Exchange/demand reaction
EX_fucgal14acglcgalgluside_hs_e,Lacto-N-fucopentaosyl III ceramide exchange,Exchange/demand reaction
EX_fucgalfucgalacglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange,Exchange/demand reaction
EX_fucgalgbside_hs_e,Fucosyl galactosylgloboside (homo sapiens) exchange,Exchange/demand reaction
EX_fuc__L_e,L-Fucose exchange,Exchange/demand reaction
EX_galacglcgalgbside_hs_e,Gal-GlcNAc-Gal globoside (homo sapiens) exchange,Exchange/demand reaction
EX_galfuc12gal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 exchange,Exchange/demand reaction
EX_galfucgalacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 exchange,Exchange/demand reaction
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 exchange,Exchange/demand reaction
EX_galgalgalthcrm_hs_e,Gal-Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens) exchange,Exchange/demand reaction
EX_gbside_hs_e,Globoside (homo sapiens) exchange,Exchange/demand reaction
EX_gchola_e,Glycocholate exchange,Exchange/demand reaction
EX_gd1b2_hs_e,GD1beta (homo sapiens) exchange,Exchange/demand reaction
EX_gd1c_hs_e,GD1c (homo sapiens) exchange,Exchange/demand reaction
EX_gdp_e,GDP exchange,Exchange/demand reaction
EX_gluala_e,5-L-Glutamyl-L-alanine exchange,Exchange/demand reaction
EX_glyc__S_e,(S)-Glycerate exchange,Exchange/demand reaction
EX_glygn2_e,"Glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) exchange",Exchange/demand reaction
EX_glygn4_e,"Glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]}) exchange",Exchange/demand reaction
EX_glygn5_e,"Glycogen, structure 5 (glycogenin-2[1,4-Glc]) exchange",Exchange/demand reaction
EX_gmp_e,GMP exchange,Exchange/demand reaction
EX_gp1c_hs_e,GP1c (homo sapiens) exchange,Exchange/demand reaction
EX_gp1calpha_hs_e,GP1c alpha  (homo sapiens) exchange,Exchange/demand reaction
EX_gq1b_hs_e,GQ1b (homo sapiens) exchange,Exchange/demand reaction
EX_gq1balpha_hs_e,GQ1balpha (homo sapiens) exchange,Exchange/demand reaction
EX_gsn_e,Guanosine exchange,Exchange/demand reaction
EX_gt1a_hs_e,GT1a (homo sapiens) exchange,Exchange/demand reaction
EX_gthox_e,Oxidized glutathione exchange,Exchange/demand reaction
EX_gthrd_e,Reduced glutathione exchange,Exchange/demand reaction
EX_gtp_e,GTP exchange,Exchange/demand reaction
EX_h2o2_e,Hydrogen peroxide exchange,Exchange/demand reaction
EX_ha_e,Hyaluronan exchange,Exchange/demand reaction
EX_ha_pre1_e,"Hyaluronan biosynthesis, precursor 1 exchange",Exchange/demand reaction
EX_hco3_e,EX hco3 LPAREN e RPAREN ,Exchange/demand reaction
EX_hcoumarin_e,Hydroxy coumarin exchange,Exchange/demand reaction
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,Exchange/demand reaction
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,Exchange/demand reaction
EX_hestratriol_e,"4,17 dihydroxy estradiol exchange",Exchange/demand reaction
EX_hexc_e,Hexacosanoate  n C260  exchange,Exchange/demand reaction
EX_hista_e,Histamine exchange,Exchange/demand reaction
EX_hom__L_e,L-Homoserine exchange,Exchange/demand reaction
EX_hpdca_e,Heptadecanoate exchange,Exchange/demand reaction
EX_hspg_e,Heparan sulfate proteoglycan exchange,Exchange/demand reaction
EX_htaxol_e,Hydroxylated taxol exchange,Exchange/demand reaction
EX_i_e,Iodide exchange,Exchange/demand reaction
EX_idp_e,IDP exchange,Exchange/demand reaction
EX_imp_e,IMP exchange,Exchange/demand reaction
EX_inost_e,Myo-Inositol exchange,Exchange/demand reaction
EX_ksi_e,Keratan sulfate I exchange,Exchange/demand reaction
EX_ksi_deg1_e,"Keratan sulfate I, degradation product 1 exchange",Exchange/demand reaction
EX_ksii_core2_e,Keratan sulfate II (core 2-linked) exchange,Exchange/demand reaction
EX_ksii_core4_e,Keratan sulfate II (core 4-linked) exchange,Exchange/demand reaction
EX_lac__D_e,D-lactate exchange,Exchange/demand reaction
EX_cysi__L_e,L Cystine exchange,Exchange/demand reaction
EX_leuktrA4_e,Leukotriene A4 exchange,Exchange/demand reaction
EX_leuktrB4_e,Leukotriene B4 exchange,Exchange/demand reaction
EX_leuktrC4_e,Leukotriene C4 exchange,Exchange/demand reaction
EX_leuktrD4_e,Leukotriene D4 exchange,Exchange/demand reaction
EX_leuktrE4_e,Leukotriene E4 exchange,Exchange/demand reaction
EX_leuktrF4_e,Leukotriene F4 exchange,Exchange/demand reaction
EX_lgnc_e,Lignoceric acid exchange,Exchange/demand reaction
EX_limnen_e,Limonene exchange,Exchange/demand reaction
EX_lipoate_e,Lipoate exchange,Exchange/demand reaction
EX_lneldc_e,Linoelaidic acid exchange,Exchange/demand reaction
EX_lnlc_e,Linoleic acid (all cis C18:2) exchange,Exchange/demand reaction
EX_lnlnca_e,Alpha-Linolenic acid exchange,Exchange/demand reaction
EX_lnlncg_e,Gamma-linolenic acid exchange,Exchange/demand reaction
EX_lpchol_hs_e,Lysophosphatidylcholine (homo sapiens) exchange,Exchange/demand reaction
EX_mag_hs_e,Monoacylglycerol 2 (homo sapiens) exchange,Exchange/demand reaction
EX_meoh_e,Methanol exchange,Exchange/demand reaction
EX_mercplaccys_e,3-mercaptolactate-cysteine disulfide exchange,Exchange/demand reaction
EX_mthgxl_e,Methylglyoxal exchange,Exchange/demand reaction
EX_n2m2nmasn_e,"N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R exchange",Exchange/demand reaction
EX_nad_e,Nicotinamide adenine dinucleotide exchange,Exchange/demand reaction
EX_nadp_e,Nicotinamide adenine dinucleotide phosphate exchange,Exchange/demand reaction
EX_ncam_e,Nicotinamide exchange,Exchange/demand reaction
EX_nifedipine_e,Nifedipine exchange,Exchange/demand reaction
EX_no_e,Nitric oxide exchange,Exchange/demand reaction
EX_npthl_e,Naphthalene exchange,Exchange/demand reaction
EX_nrpphr_e,Norepinephrine exchange,Exchange/demand reaction
EX_nrpphrsf_e,Sulfate derivative of norepinephrine exchange,Exchange/demand reaction
EX_nrvnc_e,Nervonic acid exchange,Exchange/demand reaction
EX_o2s_e,Superoxide anion exchange,Exchange/demand reaction
EX_oagd3_hs_e,9-O-Acetylated GD3 (homo sapiens) exchange,Exchange/demand reaction
EX_oagt3_hs_e,9-O-Acetylated GT3 (homo sapiens) exchange,Exchange/demand reaction
EX_ocdca_e,Octadecanoate (n-C18:0) exchange,Exchange/demand reaction
EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,Exchange/demand reaction
EX_octa_e,Octanoate (n-C8:0) exchange,Exchange/demand reaction
EX_omeprazole_e,Omeprazole exchange,Exchange/demand reaction
EX_onpthl_e,Naphthalene epoxide exchange,Exchange/demand reaction
EX_oxa_e,Oxalate exchange,Exchange/demand reaction
EX_paf_hs_e,1-alkyl 2-acteylglycerol 3-phosphocholine (homo sapiens) exchange,Exchange/demand reaction
EX_pchol_hs_e,Phosphatidylcholine (homo sapiens) exchange,Exchange/demand reaction
EX_pe_hs_e,Phosphatidylethanolamine (homo sapiens) exchange,Exchange/demand reaction
EX_peplys_e,Peptidyl-L-lysine exchange,Exchange/demand reaction
EX_perillyl_e,Perillyl alcohol exchange,Exchange/demand reaction
EX_pglyc_hs_e,Phosphatidylglycerol (homo sapiens) exchange,Exchange/demand reaction
EX_pheacgln_e,Alpha-N-Phenylacetyl-L-glutamine exchange,Exchange/demand reaction
EX_phllqne_e,EX phyQ e,Exchange/demand reaction
EX_phyt_e,Phytanic acid exchange,Exchange/demand reaction
EX_prgstrn_e,Progesterone exchange,Exchange/demand reaction
EX_prostgd2_e,Prostaglandin D2 exchange,Exchange/demand reaction
EX_prostge1_e,Prostaglandin E1 exchange,Exchange/demand reaction
EX_prostge2_e,Prostaglandin E2 exchange,Exchange/demand reaction
EX_prostgf2_e,Prostaglandin F2alpha exchange,Exchange/demand reaction
EX_ps_hs_e,Phosphatidylserine (homo sapiens) exchange,Exchange/demand reaction
EX_ptdca_e,Pentadecanoate exchange,Exchange/demand reaction
EX_rbt_e,Ribitol exchange,Exchange/demand reaction
EX_retfa_e,Fatty acid retinol exchange,Exchange/demand reaction
EX_retinol_e,Retinol exchange,Exchange/demand reaction
EX_retinol_9_cis_e,9-cis-retinol exchange,Exchange/demand reaction
EX_retinol_cis_11_e,Cis-11-retinol exchange,Exchange/demand reaction
EX_retn_e,Retinoate exchange,Exchange/demand reaction
EX_retnglc_e,Retinoyl glucuronide exchange,Exchange/demand reaction
EX_Rtotal_e,R total exchange,Exchange/demand reaction
EX_Rtotal2_e,R total 2 position exchange,Exchange/demand reaction
EX_Rtotal3_e,R total 3 position exchange,Exchange/demand reaction
EX_s2l2fn2m2masn_e,PA6 exchange,Exchange/demand reaction
EX_s2l2n2m2masn_e,De-Fuc form of PA6 exchange,Exchange/demand reaction
EX_sarcs_e,Sarcosine exchange,Exchange/demand reaction
EX_sl__L_e,L-sulfolactate exchange,Exchange/demand reaction
EX_spc_hs_e,Sphingosylphosphorylcholine (homo sapiens) exchange,Exchange/demand reaction
EX_sph1p_e,Sphinganine 1-phosphate exchange,Exchange/demand reaction
EX_sphs1p_e,Sphingosine 1-phosphate exchange,Exchange/demand reaction
EX_srtn_e,Serotonin exchange,Exchange/demand reaction
EX_strch1_e,"Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]}) exchange",Exchange/demand reaction
EX_strch2_e,"Starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]}) exchange",Exchange/demand reaction
EX_strdnc_e,Stearidonic acid exchange,Exchange/demand reaction
EX_tag_hs_e,Triacylglycerol (homo sapiens) exchange,Exchange/demand reaction
EX_tag__D_e,D Tagatose exchange,Exchange/demand reaction
EX_taxol_e,Paclitaxel exchange,Exchange/demand reaction
EX_tchola_e,Taurocholic acid exchange,Exchange/demand reaction
EX_tcynt_e,Thiocyanate exchange,Exchange/demand reaction
EX_tdchola_e,Taurochenodeoxycholate exchange,Exchange/demand reaction
EX_tethex3_e,"Tetracosahexaenoic acid, n-3 exchange",Exchange/demand reaction
EX_tetpent3_e,"Tetracosapentaenoic acid, n-3 exchange",Exchange/demand reaction
EX_tetpent6_e,"Tetracosapentaenoic acid, n-6 exchange",Exchange/demand reaction
EX_tettet6_e,Tetracosatetraenoic acid n-6 exchange,Exchange/demand reaction
EX_thf_e,"5,6,7,8-Tetrahydrofolate exchange",Exchange/demand reaction
EX_thmmp_e,Thiamin monophosphate exchange,Exchange/demand reaction
EX_thmtp_e,Thiamin triphosphate exchange,Exchange/demand reaction
EX_thym_e,Thymine exchange,Exchange/demand reaction
EX_thyox__L_e,L-Thyroxine exchange,Exchange/demand reaction
EX_tmndnc_e,Timnodonic acid exchange,Exchange/demand reaction
EX_tolbutamide_e,Tolbutamide exchange,Exchange/demand reaction
EX_triodthy_e,Triiodothyronine exchange,Exchange/demand reaction
EX_triodthysuf_e,Triiodothyronine sulfate exchange,Exchange/demand reaction
EX_tststerone_e,Testosterone exchange,Exchange/demand reaction
EX_tststeroneglc_e,Testosterone glucuronide exchange,Exchange/demand reaction
EX_tststerones_e,Testosterone sulfate exchange,Exchange/demand reaction
EX_tsul_e,Thiosulfate exchange,Exchange/demand reaction
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,Exchange/demand reaction
EX_txa2_e,Thromboxane A2 exchange,Exchange/demand reaction
EX_tymsf_e,Tyramine O-sulfate exchange,Exchange/demand reaction
EX_Tyr_ggn_e,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) exchange,Exchange/demand reaction
EX_udp_e,UDP exchange,Exchange/demand reaction
EX_ump_e,UMP exchange,Exchange/demand reaction
EX_urate_e,Urate exchange,Exchange/demand reaction
EX_utp_e,UTP exchange,Exchange/demand reaction
EX_vacc_e,Vaccenic acid exchange,Exchange/demand reaction
EX_vitd3_e,Vitamin D3 exchange,Exchange/demand reaction
EX_whddca_e,Omega hydroxy dodecanoate (n-C12:0) exchange,Exchange/demand reaction
EX_whhdca_e,Omega hydroxy hexadecanoate (n-C16:0) exchange,Exchange/demand reaction
EX_whtststerone_e,W hydroxy testosterone exchange,Exchange/demand reaction
EX_whttdca_e,Omega hydroxy tetradecanoate (n-C14:0) exchange,Exchange/demand reaction
EX_xolest_hs_e,Cholesterol ester exchange,Exchange/demand reaction
EX_xolest2_hs_e,Cholesterol ester (from R2) exchange,Exchange/demand reaction
EX_xoltri24_e,"7-alpha,24(S)-Dihydroxycholesterol exchange",Exchange/demand reaction
EX_xoltri25_e,"7-alpha,25-Dihydroxycholesterol exchange",Exchange/demand reaction
EX_xoltri27_e,"7-alpha,27-Dihydroxycholesterol exchange",Exchange/demand reaction
EX_xylt_e,Xylitol exchange,Exchange/demand reaction
EX_yvite_e,Gamma-Tocopherol exchange,Exchange/demand reaction
F1Atg,F1alpha transport (from golgi to lysosome),"Transport, golgi apparatus"
F1PGT,Fucose-1-phosphate guanylyltransferase,Fructose and mannose metabolism
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid oxidation
FACOAL150,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL160,Fatty acid  CoA ligase  hexadecanoate ,Fatty acid oxidation
FACOAL170,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL180,Fatty acid  CoA ligase  octadecanoate ,Fatty acid oxidation
FACOAL1812_1,Fatty-Acid- Coenzyme A Ligase,Fatty acid oxidation
FACOAL1813,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL181,Fatty acid  CoA ligase  octadecenoate ,Fatty acid oxidation
FACOAL1821,Linoleic acid:CoA ligase (AMP-forming),Fatty acid oxidation
FACOAL1822,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL1831,Gamma-Linolenic acid:CoA ligase (AMP-forming),Fatty acid oxidation
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid oxidation
FACOAL184,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL191,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL200,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL203,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL204,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL2042,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL205,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL206,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL224,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL2251,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL2252,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL226,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL240_1,Fatty-Acid- Coenzyme A Ligase,Fatty acid oxidation
FACOAL241,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL244_1,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL245_1,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL245_2,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL246_1,Fatty-acid--CoA ligase,Fatty acid oxidation
FACOAL260,Fatty-acid--CoA ligase (n-C26:0),Fatty acid oxidation
FACOAL40im,"Fatty-acid--CoA ligase (butanoate), mitochondrial",Fatty acid oxidation
FACOAL80,Fatty-acid--CoA ligase (octanoate),Fatty acid oxidation
FADDP,FAD diphosphatase,Vitamin B2 metabolism
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, endoplasmic reticular"
FADH2tx,"FADH2 transport, glyoxysome","Transport, peroxisomal"
FADtru,"FAD transporter, endoplasmic reticulum","Transport, endoplasmic reticular"
FADtx,"FAD transport by free diffusion, glyoxysome","Transport, peroxisomal"
FAEL183,Fatty-acyl-CoA elongation (n-C18:3CoA),Fatty acid synthesis
FAEL184,Fatty-acyl-CoA elongation (n-C20:4CoA),Fatty acid synthesis
FAEL204,Fatty-acyl-CoA elongation (n-C20:4CoA),Fatty acid synthesis
FAEL205,Fatty-acyl-CoA elongation (n-C20:5CoA),Fatty acid synthesis
FAH1,Fatty acid omega-hydroxylase,Cytochrome metabolism
FAH2,Fatty acid omega-hydroxylase,Cytochrome metabolism
FAH3_1,Fatty Acid Omega-Hydroxylase,Cytochrome metabolism
FALDH,Formaldehyde dehydrogenase,Tyrosine metabolism
FALDtly,Formaldehyde transport via diffusion (lysosomall),"Transport, lysosomal"
FALDtm,Formaldehyde transport via diffusion (mitochondrial),"Transport, mitochondrial"
FAOXC11,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC140,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC150m,Beta oxidation of long chain fatty acid (odd chain),Fatty acid oxidation
FAOXC160,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC16080m,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC16080x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC161802m,Beta oxidation  fatty acid,Fatty acid oxidation
FAOXC16180m,Beta oxidation  fatty acid,Fatty acid oxidation
FAOXC170m,Beta oxidation of long chain fatty acid (odd chain),Fatty acid oxidation
FAOXC180,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC180x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC1811601m,Beta oxidation  fatty acid,Fatty acid oxidation
FAOXC1811602m_1,Beta Oxidation Fatty Acid,Fatty acid oxidation
FAOXC1811603m,Beta oxidation  fatty acid,Fatty acid oxidation
FAOXC182806m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC18280m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC183803m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC183806m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC183806x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC18480m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC18480x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC200180m,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC200180x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2031836m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC204,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC204184m,Beta oxidation  fatty acid,Fatty acid oxidation
FAOXC2051843m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC2051843x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2242046m,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2242046x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2251836m,Beta oxidation of fatty acid,Fatty acid oxidation
FAOXC2251836x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2252053m,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2252053x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC226,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC226205m,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC226205x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC240200x_1,Beta Oxidation of Long Chain Fatty Acid,Fatty acid oxidation
FAOXC241181x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2442246x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2452253x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC2452256x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC246226x,Beta oxidation of long chain fatty acid,Fatty acid oxidation
FAOXC260240x_1,Beta Oxidation of Long Chain Fatty Acid,Fatty acid oxidation
FAOXC80,Beta oxidation of med/long chain fatty acid,Fatty acid oxidation
FAS100COA,Fatty acyl CoA synthase  n C100CoA ,Fatty acid synthesis
FAS120COA,Fatty acyl CoA synthase  n C120CoA ,Fatty acid synthesis
FAS140COA,Fatty acyl CoA synthase  n C140CoA ,Fatty acid synthesis
FAS160COA,Fatty acyl CoA synthase  n C160CoA ,Fatty acid synthesis
FAS180COA,Fatty acyl CoA synthase  n C180CoA ,Fatty acid synthesis
FAS80COA_L,Fatty acyl CoA synthase  n C80CoA   lumped reaction,Fatty acid synthesis
FATP1t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP2t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP3t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP4t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP5t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP6t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP7t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP8t,Fatty acid electroneutral transport,"Transport, extracellular"
FATP9t,Fatty acid electroneutral transport,"Transport, extracellular"
FBA4,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Glyoxylate and dicarboxylate metabolism
FBA5,D-Tagatose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Galactose metabolism
FBP26,Fructose 2 6 bisphosphate 2 phosphatase,Fructose and mannose metabolism
FCLTm,Ferrochelatase  mitochondrial,Heme synthesis
FCOAH2,Formyl coa hydrolase,Fatty acid oxidation
FDH,Formate dehydrogenase,Fatty acid oxidation
FE2t,Iron  II  transport,"Transport, extracellular"
FE2tm,Iron (II) transport,"Transport, mitochondrial"
FE3R2e_1,Fe3+ Reduction (Ascorbate),Heme synthesis
FK,Fucokinase,Fructose and mannose metabolism
FKYNH,N Formyl L kynurenine amidohydrolase,Tryptophan metabolism
FOLR2,Folate reductase,Folate metabolism
FOLt2_1,Folate Transport via Anion Antiport,"Transport, extracellular"
FORMCOAtx,Formyl coa transport,"Transport, peroxisomal"
FORtm,Formate mitochondrial transport,"Transport, mitochondrial"
FORtr,"FOR transporter, endoplasmic reticulum","Transport, endoplasmic reticular"
FPGS2,Folylpolyglutamate synthetase,Folate metabolism
FPGS2m,"Folylpolyglutamate synthetase, mitochondrial",Folate metabolism
FPGS3,Folylpolyglutamate synthetase,Folate metabolism
FPGS3m,"Folylpolyglutamate synthetase, mitochondrial",Folate metabolism
FPGS4_1,Folylpolyglutamate Synthetase (Dhf),Folate metabolism
FPGS4m_1,"Folylpolyglutamate Synthetase (Dhf), Mitochondrial",Folate metabolism
FPGS5,Folylpolyglutamate  synthetase (DHF),Folate metabolism
FPGS5m,"Folylpolyglutamate  synthetase (DHF), mitochondrial",Folate metabolism
FPGS6,Folylpolyglutamate synthetase (DHF),Folate metabolism
FPGS6m,"Folylpolyglutamate synthetase (DHF), mitochondrial",Folate metabolism
FPGS7m_1,"Folylpolyglutamate Synthetase (10Fthf), Mitochondrial",Folate metabolism
FPGS8,Folylpolyglutamate synthetase (10fthf),Folate metabolism
FPGS8m,"Folylpolyglutamate synthetase (10fthf), mitochondrial",Folate metabolism
FPGS9,Folylpolyglutamate synthetase (10fthf),Folate metabolism
FPGS9m,"Folylpolyglutamate synthetase (10fthf), mitochondrial",Folate metabolism
FPGSm_1,"Folylpolyglutamate Synthetase, Mitochondrial",Folate metabolism
FRDPtc,"Lipid, flip-flop intracellular transport","Transport, peroxisomal"
FRDPtr,"Lipid, flip-flop intracellular transport","Transport, peroxisomal"
FRUt1r,D-fructose transport in via uniport,"Transport, extracellular"
FTHFDH,10-formyltetrahydrofolate:NADP+ oxidoreductase,Folate metabolism
FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,Folate metabolism
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
FUC14GALACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
FUC14GALACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
FUCACGALFUCGALACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
FUCACGALFUCGALACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
FUCACNGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
FUCACNGAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
FUCACNGALACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
FUCACNGALACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
FUCASE2e,"Alpha-fucosidase, extracellular",Keratan sulfate degradation
FUCASE2ly,"Alpha-fucosidase, lysosomal",Keratan sulfate degradation
FUCASEe,"Alpha-fucosidase, extracellular",N-glycan degradation
FUCASEly,"Alpha-fucosidase, lysosomal",N-glycan degradation
