mets,mets_name,genes,rxns,subsystems
,,,r0834,"Transport, mitochondrial"
,,,SK_gly_c,Exchange/demand reaction
,,,r2535,"Transport, extracellular"
,,,CRNtuNa,"Transport, extracellular"
,,,r2389,"Transport, mitochondrial"
,,,PPPGO,Heme synthesis
,,,RPEc,Pentose phosphate pathway
,,,LRAT1,Vitamin A metabolism
,,,GUAD,Purine catabolism
,,,FAOXC16080x,Fatty acid oxidation
,,,r1740,"Transport, extracellular"
,,,r1783,"Transport, extracellular"
,,,r1773,"Transport, extracellular"
,,,DM_Ser_Gly_Ala_X_Gly_l,Exchange/demand reaction
,,,HMR_7749,Glycolysis/gluconeogenesis
,,,C40CPT1,Fatty acid oxidation
,,,HMR_9652,"Transport, extracellular"
,,,EX_k_e,Exchange/demand reaction
,,,EX_ak2lgchol_hs_e,Exchange/demand reaction
,,,PROSTGI2t,"Transport, extracellular"
,,,HMR_3332,Fatty acid oxidation
,,,r1805,"Transport, extracellular"
,,,EX_CE2537_e,Exchange/demand reaction
,,,DCA3St,"Transport, extracellular"
,,,THRA,"Glycine, serine, alanine, and threonine metabolism"
,,,DM_pe_hs_r,Exchange/demand reaction
,,,ACTNMO,Pyruvate metabolism
,,,NRVNCCOAtxc,"Transport, peroxisomal"
,,,r0908,"Transport, endoplasmic reticular"
,,,HMR_2866,"Transport, endoplasmic reticular"
,,,NORMETEt,"Transport, extracellular"
,,,FACOAL246_1,Fatty acid oxidation
,,,r1999,"Transport, extracellular"
,,,HMR_0966,"Transport, endoplasmic reticular"
,,,ESTRONEtr,"Transport, endoplasmic reticular"
,,,ADNK3,Purine synthesis
,,,r0733,Fatty acid oxidation
,,,r2189,"Transport, extracellular"
,,,FPGS7m_1,Folate metabolism
,,,DM_hista_c,Exchange/demand reaction
,,,BTNt2m,"Transport, mitochondrial"
,,,r1651,"Transport, extracellular"
,,,FAOXC4020m,Fatty acid oxidation
,,,PYK3,Glycolysis/gluconeogenesis
,,,HMR_6850,Phenylalanine metabolism
,,,CE2510t,"Transport, extracellular"
,,,AKGICITtm,"Transport, peroxisomal"
,,,TDPm,Thiamine metabolism
,,,DCSPTN1COAtx,"Transport, peroxisomal"
,,,r0466_1,Miscellaneous
,,,r1970,"Transport, extracellular"
,,,ADRNCOAtx,"Transport, peroxisomal"
,,,SPHMYLN18118_hs_SECt,"Transport, extracellular"
,,,SRTNtu,"Transport, extracellular"
,,,EX_pe15_hs_e,Exchange/demand reaction
,,,PAILR_HSSECt,"Transport, extracellular"
,,,r2258,"Transport, extracellular"
,,,r2068,"Transport, extracellular"
,,,Htx,"Transport, peroxisomal"
,,,r2294,"Transport, extracellular"
,,,CRNt,"Transport, extracellular"
,,,EX_lpchol_hs_e,Exchange/demand reaction
,,,MMTSADm,"Valine, leucine, and isoleucine metabolism"
,,,CE2537ABCt,"Transport, extracellular"
,,,CYTD,Pyrimidine catabolism
,,,THFtm,"Transport, mitochondrial"
,,,ILEATB0tc,"Transport, extracellular"
,,,Htg,"Transport, golgi apparatus"
,,,P45039A1r,Bile acid synthesis
,,,PCHOLN205_HSt1e,"Transport, extracellular"
,,,WHARACHDt,"Transport, extracellular"
,,,r1860,"Transport, extracellular"
,,,GLYt4,"Transport, extracellular"
,,,HDD2COAtx,"Transport, peroxisomal"
,,,VALtec,"Transport, extracellular"
,,,SERCYSNaEx,"Transport, extracellular"
,,,PROSTGD2t,"Transport, extracellular"
,,,r2236,"Transport, extracellular"
,,,r2014,"Transport, extracellular"
,,,BILIRUBtr,"Transport, endoplasmic reticular"
,,,LPS2,Triacylglycerol synthesis
,,,HMR_0366,Fatty acid oxidation
,,,GLYOp,"Glycine, serine, alanine, and threonine metabolism"
,,,HMR_6558,Inositol phosphate metabolism
,,,EX_pcholn24_hs_e,Exchange/demand reaction
,,,r2207,"Transport, extracellular"
,,,PHCRMter,"Transport, endoplasmic reticular"
,,,SRTNENT4tc,"Transport, extracellular"
,,,EX_sphmyln18120_hs_e,Exchange/demand reaction
,,,PVSitr,Drug metabolism
,,,LEUKTRB4tr,"Transport, endoplasmic reticular"
,,,SPHMYLN18120_hs_SECt,"Transport, extracellular"
,,,SPHMYLN18117_hs_SECt,"Transport, extracellular"
,,,SUCCt4_3,"Transport, extracellular"
,,,CYTDK2m,Nucleotide interconversion
,,,ADK3,Nucleotide interconversion
,,,UGT1A10c,Heme degradation
,,,34DHPHAMT,Tyrosine metabolism
,,,3MOXTYRt,"Transport, extracellular"
,,,r1931,"Transport, extracellular"
,,,SPHMYLN181161_hs_SECt,"Transport, extracellular"
,,,URIt2,"Transport, extracellular"
,,,LEUt5m,"Transport, mitochondrial"
,,,EX_fe2_e,Exchange/demand reaction
,,,r0074,Urea cycle
,,,TAURtcx,Taurine and hypotaurine metabolism
,,,r0788,Sphingolipid metabolism
,,,r2218,"Transport, extracellular"
,,,NTD1,Pyrimidine catabolism
,,,r1013,"Transport, endoplasmic reticular"
,,,VALt5m,"Transport, mitochondrial"
,,,3HPVSTETtev,Drug metabolism
,,,r1590,"Transport, extracellular"
,,,EX_gal_e,Exchange/demand reaction
,,,EX_pailar_hs_e,Exchange/demand reaction
,,,ACMPGLUTtep,Drug metabolism
,,,RE3010X,Eicosanoid metabolism
,,,HMR_2287,Fatty acid synthesis
,,,GT1Atg,"Transport, golgi apparatus"
,,,HMR_0308,"Transport, extracellular"
,,,PEFLIP,"Transport, extracellular"
,,,r2065,"Transport, extracellular"
,,,P4508B13r,Bile acid synthesis
,,,r2371,"Transport, mitochondrial"
,,,C4STMO1r,Cholesterol metabolism
,,,UDCA3Sabc,"Transport, extracellular"
,,,ICDCHOLt,"Transport, extracellular"
,,,FAOXC8C6m,Fatty acid oxidation
,,,EX_cytd_e,Exchange/demand reaction
,,,HMR_1631,"Transport, endoplasmic reticular"
,,,P45017A2r,Steroid metabolism
,,,ASPt6,"Transport, extracellular"
,,,HMR_9191,"Transport, extracellular"
,,,HMR_3096,Fatty acid oxidation
,,,FPGS8m,Folate metabolism
,,,G6PDH1er,Pentose phosphate pathway
,,,PGP_hs_tm,"Transport, mitochondrial"
,,,SK_ser__L_c,Exchange/demand reaction
,,,DCTPD,Pyrimidine synthesis
,,,HMR_0211,"Transport, extracellular"
,,,GUDCA3St,"Transport, extracellular"
,,,7DHCHOLt,"Transport, extracellular"
,,,r2038,"Transport, extracellular"
,,,3DHDCAt2,"Transport, extracellular"
,,,PA_HSter,"Transport, endoplasmic reticular"
,,,LNLCCRNNAt,"Transport, extracellular"
,,,r1571,"Transport, extracellular"
,,,RSVtev,Drug metabolism
,,,r2023,"Transport, extracellular"
,,,PCHOLSTE_HSt1e,"Transport, extracellular"
,,,HMR_0194,"Transport, extracellular"
,,,r2011,"Transport, extracellular"
,,,LPCHOLt,"Transport, extracellular"
,,,r1883,"Transport, extracellular"
,,,GLNALANaEx,"Transport, extracellular"
,,,r1682,"Transport, extracellular"
,,,HMR_0362,Fatty acid oxidation
,,,HMR_1557,Cholesterol metabolism
,,,r1866,"Transport, extracellular"
,,,DNDPt43m,"Transport, mitochondrial"
,,,EX_asn__L_e,Exchange/demand reaction
,,,PUNP5,Purine catabolism
,,,SK_lys__L_c,Exchange/demand reaction
,,,GA1tl,"Transport, extracellular"
,,,RE1804C,Bile acid synthesis
,,,HMR_3095,Fatty acid oxidation
,,,r2238,"Transport, extracellular"
,,,r0560,"Valine, leucine, and isoleucine metabolism"
,,,EX_sphmyln181161_hs_e,Exchange/demand reaction
,,,DHCHOLESTANATEATP,"Transport, extracellular"
,,,DUTPDPm,Nucleotide interconversion
,,,ACGALK,Aminosugar metabolism
,,,RE3476M,Arachidonic acid metabolism
,,,EX_atvlac_e,Exchange/demand reaction
,,,r2062,"Transport, extracellular"
,,,DNDPt50m,"Transport, mitochondrial"
,,,r2264,"Transport, extracellular"
,,,PIt7,"Transport, extracellular"
,,,FAOXC161C141m,Fatty acid oxidation
,,,FAS120COA,Fatty acid synthesis
,,,INSt4,"Transport, extracellular"
,,,FldAct,Miscellaneous
,,,r1742,"Transport, extracellular"
,,,RE2404C,Miscellaneous
,,,DNDPt7m,"Transport, mitochondrial"
,,,EX_xolest181_hs_e,Exchange/demand reaction
,,,r1796,"Transport, extracellular"
,,,GLNt,"Transport, extracellular"
,,,r1969,"Transport, extracellular"
,,,ATPtm,"Transport, mitochondrial"
,,,PItn,"Transport, nuclear"
,,,PHEATB0tc,"Transport, extracellular"
,,,r2334,"Transport, extracellular"
,,,MMSAD3m,Propanoate metabolism
,,,r0431_1,Fatty acid oxidation
,,,DESAT18_3,Fatty acid synthesis
,,,r1606,"Transport, extracellular"
,,,UCHOLt,"Transport, extracellular"
,,,HMR_9605,"Transport, extracellular"
,,,HMR_8510,"Transport, mitochondrial"
,,,LEUKTRD4t,"Transport, extracellular"
,,,ACHEe,Glycerophospholipid metabolism
,,,MI14Ptn,"Transport, nuclear"
,,,r2249,"Transport, extracellular"
,,,r1981,"Transport, extracellular"
,,,HMR_6362,"Transport, extracellular"
,,,GLNATB0tc,"Transport, extracellular"
,,,r1501,"Transport, extracellular"
,,,r2487,"Transport, extracellular"
,,,ARACHCPT1,Fatty acid oxidation
,,,RE2651R,Vitamin A metabolism
,,,CYSPHELAT2tc,"Transport, extracellular"
,,,GLUVESSEC,"Transport, extracellular"
,,,HSK,"Glycine, serine, alanine, and threonine metabolism"
,,,2HATVACIDteb,Drug metabolism
,,,CHOLD,"Glycine, serine, alanine, and threonine metabolism"
,,,UGLT,Galactose metabolism
,,,THMTP,Thiamine metabolism
,,,NDPK9n,Nucleotide interconversion
,,,r2392,"Transport, mitochondrial"
,,,EX_atp_e,Exchange/demand reaction
,,,SMVACIDitr,Drug metabolism
,,,CYSGLNNaEx,"Transport, extracellular"
,,,r1771,"Transport, extracellular"
,,,MMALtm,"Transport, mitochondrial"
,,,r2510,"Transport, endoplasmic reticular"
,,,ADAe,Purine catabolism
,,,r0546,Miscellaneous
,,,HMR_1766,Bile acid synthesis
,,,34DHPHELAT1tc,"Transport, extracellular"
,,,EX_Rtotal_e,Exchange/demand reaction
,,,ADK3m,Nucleotide interconversion
,,,ADNt4,"Transport, extracellular"
,,,EX_pcholn205_hs_e,Exchange/demand reaction
,,,r0899,"Transport, extracellular"
,,,RE3238C,Fatty acid synthesis
,,,r1146,"Transport, mitochondrial"
,,,HMR_6363,"Transport, extracellular"
,,,RE0453M,Pyrimidine synthesis
,,,DESAT20_2,Fatty acid synthesis
,,,THRGLNNaEx,"Transport, extracellular"
,,,5DHFtl,"Transport, lysosomal"
,,,r1302,"Transport, lysosomal"
,,,PPAtm,"Transport, mitochondrial"
,,,r1876,"Transport, extracellular"
,,,r2387,"Transport, mitochondrial"
,,,RE2625M,Bile acid synthesis
,,,ADNK1m,Nucleotide interconversion
,,,HMR_3478,"Transport, peroxisomal"
,,,r2327,"Transport, extracellular"
,,,PCHOLPg_hs,Glycerophospholipid metabolism
,,,r2305,"Transport, extracellular"
,,,HMR_4422,Arginine and proline metabolism
,,,r2439,"Transport, extracellular"
,,,PSSA1_hs,Glycerophospholipid metabolism
,,,NTPP9,Nucleotide interconversion
,,,r1862,"Transport, extracellular"
,,,OIVD2m,"Valine, leucine, and isoleucine metabolism"
,,,TCDCA3Sabc,"Transport, extracellular"
,,,EX_sphmyln181181_hs_e,Exchange/demand reaction
,,,HMR_1623,"Transport, peroxisomal"
,,,r0573,Bile acid synthesis
,,,3DHDCAabc,"Transport, extracellular"
,,,CBR2,Eicosanoid metabolism
,,,STS1,Steroid metabolism
,,,r1994,"Transport, extracellular"
,,,MGSA2,Pyruvate metabolism
,,,DNDPt60m,"Transport, mitochondrial"
,,,GULND,Miscellaneous
,,,SK_pmtcoa_c,Exchange/demand reaction
,,,ACt2m,"Transport, mitochondrial"
,,,EX_pcholn201_hs_e,Exchange/demand reaction
,,,NDPK2n,Nucleotide interconversion
,,,RE3629C,Histidine metabolism
,,,INSTt4,"Transport, extracellular"
,,,HDCECRNtr,"Transport, extracellular"
,,,PROSTGE2t2m,"Transport, mitochondrial"
,,,PI4PP,Inositol phosphate metabolism
,,,NEU310e,Sphingolipid metabolism
,,,LCADi,Pyruvate metabolism
,,,PEAR_HSt1e,"Transport, extracellular"
,,,CRNtx,"Transport, peroxisomal"
,,,4HATVACIDteb,Drug metabolism
,,,ACRNte,"Transport, extracellular"
,,,CHSTEROLSULT,Steroid metabolism
,,,NADtn,"Transport, nuclear"
,,,ALADGLNexR,"Transport, extracellular"
,,,GLYt7_211_r,"Transport, extracellular"
,,,NTD5m,Nucleotide interconversion
,,,r1800,"Transport, extracellular"
,,,r0655,"Valine, leucine, and isoleucine metabolism"
,,,r1846,"Transport, extracellular"
,,,r1019,"Transport, peroxisomal"
,,,DM_k_c,Exchange/demand reaction
,,,TRPO2,Tryptophan metabolism
,,,HMR_6838,Phenylalanine metabolism
,,,OCCOAtm,"Transport, mitochondrial"
,,,ESTSULT,Steroid metabolism
,,,r1726,"Transport, extracellular"
,,,HMR_1958,Androgen and estrogen synthesis and metabolism
,,,r2284,"Transport, extracellular"
,,,GULN3D,Pentose phosphate pathway
,,,6EPVShc,Drug metabolism
,,,GSNt5,"Transport, extracellular"
,,,r2185,"Transport, extracellular"
,,,FAOXC10080m,Fatty acid oxidation
,,,r2277,"Transport, extracellular"
,,,LEUKTRA4t,"Transport, extracellular"
,,,UCHOLt2,"Transport, extracellular"
,,,FTCD,"Transport, mitochondrial"
,,,10FTHF5GLUtl,"Transport, lysosomal"
,,,r1882,"Transport, extracellular"
,,,NCCt,"Transport, extracellular"
,,,LCARS,Pyruvate metabolism
,,,HMR_0783,Sphingolipid metabolism
,,,r2316,"Transport, extracellular"
,,,r1964,"Transport, extracellular"
,,,RSVGLUChc,Drug metabolism
,,,MTHFD,Folate metabolism
,,,ANDRSTANDRtr,"Transport, endoplasmic reticular"
,,,ASNt4,"Transport, extracellular"
,,,r0642,Miscellaneous
,,,HMR_1706,Bile acid synthesis
,,,PEHSFABPe,"Transport, endoplasmic reticular"
,,,RE2605C,Purine catabolism
,,,CO2tp,"Transport, peroxisomal"
,,,RE2658R,Vitamin A metabolism
,,,Uritn,"Transport, nuclear"
,,,MCPST,Methionine and cysteine metabolism
,,,PCHOLMYR_Hst1e,"Transport, extracellular"
,,,GTMLTe,Glutathione metabolism
,,,EX_imp_e,Exchange/demand reaction
,,,HMR_0287,"Transport, extracellular"
,,,CATr,ROS detoxification
,,,r1684,"Transport, extracellular"
,,,r0156,Urea cycle
,,,56DURAt,"Transport, extracellular"
,,,RTOTAL2FATPc,"Transport, extracellular"
,,,VALB0AT3tc,"Transport, extracellular"
,,,CE2512te,"Transport, extracellular"
,,,EX_pcholn183_hs_e,Exchange/demand reaction
,,,BALAPAT1tc2,"Transport, extracellular"
,,,C05769te3,"Transport, extracellular"
,,,HXPRT,Nucleotide salvage pathway
,,,PGPP_hsc,Glycerophospholipid metabolism
,,,EX_pcholn203_hs_e,Exchange/demand reaction
,,,7DHCHSTEROLtd,"Transport, extracellular"
,,,r2412,"Transport, mitochondrial"
,,,ARGDr,Arginine and proline metabolism
,,,EX_pcholeic_hs_e,Exchange/demand reaction
,,,r0331,Pyrimidine catabolism
,,,HMR_7628,Phenylalanine metabolism
,,,RE1845C,Bile acid synthesis
,,,r1710,"Transport, extracellular"
,,,4HPRO_LTte,"Transport, extracellular"
,,,r2401,"Transport, mitochondrial"
,,,SK_mi1345p_c,Exchange/demand reaction
,,,DIGALSGALSIDEte,"Transport, extracellular"
,,,ACGAMK,Aminosugar metabolism
,,,COPROSTt2,"Transport, extracellular"
,,,SMVtu,Drug metabolism
,,,HMR_0378,Fatty acid oxidation
,,,ASNTHRNaEx,"Transport, extracellular"
,,,PEPCKm,Glycolysis/gluconeogenesis
,,,LEUt4,"Transport, extracellular"
,,,r1926,"Transport, extracellular"
,,,DNDPt49m,"Transport, mitochondrial"
,,,7DHCDCHOLt2,"Transport, extracellular"
,,,EX_glu__L_e,Exchange/demand reaction
,,,r2159,"Transport, extracellular"
,,,SK_arg__L_c,Exchange/demand reaction
,,,r0433_1,Fatty acid oxidation
,,,r1633,"Transport, extracellular"
,,,ATVACIDhr,Drug metabolism
,,,r1713,"Transport, extracellular"
,,,EX_adp_e,Exchange/demand reaction
,,,UTPtn,"Transport, nuclear"
,,,RE2626C,Bile acid synthesis
,,,XOLEST183tl,"Transport, lysosomal"
,,,r0575,Cholesterol metabolism
,,,HMR_0422,Fatty acid oxidation
,,,r0983,"Transport, endoplasmic reticular"
,,,EX_leuktrA4_e,Exchange/demand reaction
,,,HMR_9622,"Transport, extracellular"
,,,N4Tg,O-glycan metabolism
,,,r1789,"Transport, extracellular"
,,,r1635,"Transport, extracellular"
,,,HMR_1666,"Transport, mitochondrial"
,,,NMNDA,NAD metabolism
,,,r1564,"Transport, extracellular"
,,,DNDPt23m,"Transport, mitochondrial"
,,,DOPAc,Tyrosine metabolism
,,,DM_pmtcoa_r,Exchange/demand reaction
,,,r1677,"Transport, extracellular"
,,,RNTR1,Nucleotide interconversion
,,,r1583,"Transport, extracellular"
,,,12DHCHOLabc,"Transport, extracellular"
,,,r2247,"Transport, extracellular"
,,,XOLEST2te,"Transport, extracellular"
,,,EX_sphmyln18118_hs_e,Exchange/demand reaction
,,,FAOXC260240x_1,Fatty acid oxidation
,,,r1679,"Transport, extracellular"
,,,LTHSTRLtr,"Transport, endoplasmic reticular"
,,,r2378,"Transport, mitochondrial"
,,,LEUtec,"Transport, extracellular"
,,,CYANSTm,Miscellaneous
,,,SMS21e,Sphingolipid metabolism
,,,EX_doco13ac_e,Exchange/demand reaction
,,,CRMte,Sphingolipid metabolism
,,,PRDX,Miscellaneous
,,,MLTG1e,Starch and sucrose metabolism
,,,PHETA1m,Phenylalanine metabolism
,,,FAOXC2242046x,Fatty acid oxidation
,,,RE1447N_1,Phosphatidylinositol phosphate metabolism
,,,r1961,"Transport, extracellular"
,,,DM_gd3_hs_l,Exchange/demand reaction
,,,It,"Transport, extracellular"
,,,r2484,"Transport, extracellular"
,,,RE3570C,Eicosanoid metabolism
,,,SK_glu__L_c,Exchange/demand reaction
,,,P45046A1r,Bile acid synthesis
,,,5HOXINDACTO2OX,Tryptophan metabolism
,,,r0950,"Transport, mitochondrial"
,,,r2220,"Transport, extracellular"
,,,LEUPHELAT2tc,"Transport, extracellular"
,,,r1657,"Transport, extracellular"
,,,NEU21,Sphingolipid metabolism
,,,r2215,"Transport, extracellular"
,,,ASPte,"Transport, extracellular"
,,,ACHVESSEC_1,"Transport, extracellular"
,,,PHETHPTOX,Tetrahydrobiopterin metabolism
,,,r0970,"Transport, endoplasmic reticular"
,,,DM_na1_c,Exchange/demand reaction
,,,EX_ump_e,Exchange/demand reaction
,,,r0885,"Transport, mitochondrial"
,,,DNDPt6m,"Transport, mitochondrial"
,,,CYTDtm,"Transport, mitochondrial"
,,,PHEtec,"Transport, extracellular"
,,,FBP,Glycolysis/gluconeogenesis
,,,PESTE_HSt1e,"Transport, extracellular"
,,,FPGS_1,Folate metabolism
,,,THRCYSNaEx,"Transport, extracellular"
,,,SARCOXp,"Glycine, serine, alanine, and threonine metabolism"
,,,CYANtm,"Transport, mitochondrial"
,,,3DHDCAt,"Transport, extracellular"
,,,TTDCEAt,"Transport, extracellular"
,,,LPS3e,Fatty acid oxidation
,,,FAOXC180x,Fatty acid oxidation
,,,CE1273t2,"Transport, extracellular"
,,,G6PDH2c,Pentose phosphate pathway
,,,ADA,Purine catabolism
,,,FRDPtc,"Transport, peroxisomal"
,,,r1586,"Transport, extracellular"
,,,r1723,"Transport, extracellular"
,,,LTA4H,Eicosanoid metabolism
,,,GLYB0AT3tc,"Transport, extracellular"
,,,r1531_1,"Transport, extracellular"
,,,EX_pchollinl_hs_e,Exchange/demand reaction
,,,EX_trp__L_e,Exchange/demand reaction
,,,EX_uri_e,Exchange/demand reaction
,,,r2035,"Transport, extracellular"
,,,r2300,"Transport, extracellular"
,,,NMNS,NAD metabolism
,,,EX_orn_e,Exchange/demand reaction
,,,r1817,"Transport, extracellular"
,,,r2263,"Transport, extracellular"
,,,C06439t,"Transport, extracellular"
,,,r0999,"Transport, peroxisomal"
,,,r1951,"Transport, extracellular"
,,,HMR_6728,Phenylalanine metabolism
,,,SO4HCOtex,"Transport, extracellular"
,,,SPHGNSte,"Transport, extracellular"
,,,HMR_1095,"Transport, nuclear"
,,,PYK,Glycolysis/gluconeogenesis
,,,ESTRAABCtc,"Transport, extracellular"
,,,GD1Atg,"Transport, golgi apparatus"
,,,r1607,"Transport, extracellular"
,,,r2390,"Transport, mitochondrial"
,,,C04483t2,"Transport, extracellular"
,,,THMDt2,"Transport, extracellular"
,,,HMR_0182,"Transport, mitochondrial"
,,,PIK4n,Inositol phosphate metabolism
,,,3AIBt1,"Transport, extracellular"
,,,FUMTSULtm,"Transport, mitochondrial"
,,,r0424,Miscellaneous
,,,AKGtp,"Transport, peroxisomal"
,,,FAS100COA,Fatty acid synthesis
,,,r2235,"Transport, extracellular"
,,,r1155,"Transport, mitochondrial"
,,,r1894,"Transport, extracellular"
,,,CAPROICc,Fatty acid oxidation
,,,NDPK5m,Nucleotide interconversion
,,,r1617,"Transport, extracellular"
,,,ASPTAm,Alanine and aspartate metabolism
,,,r0604,Miscellaneous
,,,HMR_6989,"Transport, extracellular"
,,,q10h2tc,"Transport, mitochondrial"
,,,OCCOAtx,"Transport, peroxisomal"
,,,r2425,"Transport, mitochondrial"
,,,r2028,"Transport, extracellular"
,,,PI4P3Kn,Inositol phosphate metabolism
,,,r2151,"Transport, extracellular"
,,,RE3432X,Eicosanoid metabolism
,,,r1695,"Transport, extracellular"
,,,ACCOACrm,Fatty acid oxidation
,,,r2213,"Transport, extracellular"
,,,RE1233C,Tryptophan metabolism
,,,EX_cmp_e,Exchange/demand reaction
,,,DNDPt46m,"Transport, mitochondrial"
,,,FAOXC161802m,Fatty acid oxidation
,,,r0818,Pyruvate metabolism
,,,HMR_4783,Arginine and proline metabolism
,,,FAOXC18480x,Fatty acid oxidation
,,,AGDC,Aminosugar metabolism
,,,ICDHym,Citric acid cycle
,,,r2260,"Transport, extracellular"
,,,TMDOATPtsc,Drug metabolism
,,,CLHCO3tex2,"Transport, extracellular"
,,,H2Otly,"Transport, lysosomal"
,,,r0840,"Transport, endoplasmic reticular"
,,,HMR_0392,"Transport, extracellular"
,,,r1681,"Transport, extracellular"
,,,EX_maltpt_e,Exchange/demand reaction
,,,DM_srtn_c,Exchange/demand reaction
,,,FAOXC8C6x,Fatty acid oxidation
,,,EX_sphmyln18121_hs_e,Exchange/demand reaction
,,,MEPIVESSte_cho,"Transport, extracellular"
,,,EX_pepalm_hs_e,Exchange/demand reaction
,,,FAOXC7C5m,Fatty acid oxidation
,,,r1481,Fatty acid oxidation
,,,r2299,"Transport, extracellular"
,,,SK_lnlncgcoa_c,Exchange/demand reaction
,,,EX_M02446_e,Exchange/demand reaction
,,,r1561,"Transport, extracellular"
,,,3DHCHOLt,"Transport, extracellular"
,,,TRPHYDRO2,Tryptophan metabolism
,,,FTHFCLm,Folate metabolism
,,,r2178,"Transport, extracellular"
,,,4HATVLACOXDhc,Drug metabolism
,,,H2Oter,"Transport, endoplasmic reticular"
,,,FAOXC140120x,Fatty acid oxidation
,,,PROSTGH2t,"Transport, extracellular"
,,,SK_dgchol_c,Exchange/demand reaction
,,,HMR_6365,"Transport, extracellular"
,,,r1757,"Transport, extracellular"
,,,r2407,"Transport, mitochondrial"
,,,PCFLOPm,"Transport, mitochondrial"
,,,SK_gln__L_c,Exchange/demand reaction
,,,r2381,"Transport, mitochondrial"
,,,r1392,Miscellaneous
,,,ALATHRNaEx,"Transport, extracellular"
,,,DMNONCOACRNCPT1,Fatty acid oxidation
,,,EX_hco3_e,Exchange/demand reaction
,,,2HATVACIDtep,Drug metabolism
,,,PI4P4Pn,Phosphatidylinositol phosphate metabolism
,,,PCHOLPr_hs,Glycerophospholipid metabolism
,,,MMSAD1m,"Valine, leucine, and isoleucine metabolism"
,,,r1499,"Transport, extracellular"
,,,CHOLtg,"Transport, golgi apparatus"
,,,TYRPHELAT2tc,"Transport, extracellular"
,,,PGLYCt,"Transport, extracellular"
,,,HC00900t1,"Transport, extracellular"
,,,r0754,Miscellaneous
,,,THRATB0tc,"Transport, extracellular"
,,,ISOCHOLabc,"Transport, extracellular"
,,,r0915,"Transport, mitochondrial"
,,,EX_akg_e,Exchange/demand reaction
,,,r2163,"Transport, extracellular"
,,,r2032,"Transport, extracellular"
,,,IDPtn,"Transport, nuclear"
,,,r0084,Miscellaneous
,,,NEU36e,Sphingolipid metabolism
,,,TETHEX3COAtx,"Transport, peroxisomal"
,,,r2309,"Transport, extracellular"
,,,VALATB0tc,"Transport, extracellular"
,,,SK_thcholstoic_c,Exchange/demand reaction
,,,GUDACtr2,"Transport, extracellular"
,,,DCMPtm,"Transport, mitochondrial"
,,,THRGLNexR,"Transport, extracellular"
,,,DNDPt19m,"Transport, mitochondrial"
,,,SMS1S2,Sphingolipid metabolism
,,,ALAR,Alanine and aspartate metabolism
,,,LEUKTRB4t,"Transport, extracellular"
,,,LVSTACIDhep,Drug metabolism
,,,DM_adrnl_c,Exchange/demand reaction
,,,CO2tm,"Transport, mitochondrial"
,,,LGNCCOAtcx_1,"Transport, peroxisomal"
,,,FAOXC10DCC8DCx,Fatty acid oxidation
,,,CHSTEROLtrc,"Transport, endoplasmic reticular"
,,,FACOAE1839Z12Z15Z,Fatty acid oxidation
,,,THMMPtm_cho,"Transport, mitochondrial"
,,,NACHEXA22ly,Keratan sulfate degradation
,,,BTNt4i,"Transport, extracellular"
,,,GLUSIDEtg,"Transport, extracellular"
,,,r2070,"Transport, extracellular"
,,,HMR_1897,"Transport, extracellular"
,,,HMR_9615,"Transport, extracellular"
,,,STRDNCCPT1,Fatty acid oxidation
,,,PCHOLN201_HSt1e,"Transport, extracellular"
,,,RIBFLVt3,"Transport, extracellular"
,,,ACACT6m,Fatty acid oxidation
,,,BALABETAtc,"Transport, extracellular"
,,,HMR_7898,"Transport, extracellular"
,,,EX_CE2838_e,Exchange/demand reaction
,,,ASNtN1,"Transport, extracellular"
,,,DNDPt62m,"Transport, mitochondrial"
,,,MGSA,Pyruvate metabolism
,,,r1985,"Transport, extracellular"
,,,EX_ser__L_e,Exchange/demand reaction
,,,r1781,"Transport, extracellular"
,,,SK_phe__L_c,Exchange/demand reaction
,,,LIPOti_1,"Transport, extracellular"
,,,HMR_0292,"Transport, extracellular"
,,,r1708,"Transport, extracellular"
,,,HMR_2292,Fatty acid synthesis
,,,r1728,"Transport, extracellular"
,,,AACOAT,Propanoate metabolism
,,,r2355,"Transport, extracellular"
,,,ALCD2y,Glycolysis/gluconeogenesis
,,,r0383,Miscellaneous
,,,TYROX,Phenylalanine metabolism
,,,HISyLATtc,"Transport, extracellular"
,,,LYSt4,"Transport, extracellular"
,,,r1746,"Transport, extracellular"
,,,r0016,Miscellaneous
,,,H2O2tn,"Transport, nuclear"
,,,56DTHMt,"Transport, extracellular"
,,,r1557,"Transport, extracellular"
,,,r2179,"Transport, extracellular"
,,,MITKP,Inositol phosphate metabolism
,,,SK_c226coa_c,Exchange/demand reaction
,,,ISOCHOLt,"Transport, extracellular"
,,,TRIODTHYSULT,Tyrosine metabolism
,,,DM_ca2_c,
,,,CHOLATEt2,"Transport, extracellular"
,,,DHEAtr,"Transport, endoplasmic reticular"
,,,r2064,"Transport, extracellular"
,,,MALOAAtm,"Transport, mitochondrial"
,,,THCRMtl,"Transport, lysosomal"
,,,r1687,"Transport, extracellular"
,,,3AIBt,"Transport, extracellular"
,,,SK_his__L_c,Exchange/demand reaction
,,,DIGALSGALSIDEtg,"Transport, golgi apparatus"
,,,AKGCITtm,"Transport, mitochondrial"
