"mouseID","mouseGene","humanGene","humanID"
207151,"Slc22a19","SLC22A24",283238
207182,"Ggt7","GGT7",2686
207728,"Pde2a","PDE2A",5138
20773,"Sptlc2","SPTLC2",9517
20775,"Sqle","SQLE",6713
207839,"Galnt6","GALNT6",11226
208043,"Setd1b","SETD1B",23067
20810,"Srm","SRM",6723
208211,"Alg1","ALG1",56052
208266,"Dot1l","DOT1L",84444
208449,"Sgms1","SGMS1",259230
20860,"Sult1e1","SULT1E1",6783
208665,"Akr1d1","AKR1D1",6718
208715,"Hmgcs1","HMGCS1",3157
20887,"Sult1a1","SULT1A1",6817
208890,"Slc26a7","SLC26A7",115111
208967,"Thnsl1","THNSL1",79896
208982,"Hmgcll1","HMGCLL1",54511
209027,"Pycr1","PYCR1",5831
209039,"Tenc1","TENC1",23371
20905,"Sts","STS",412
20916,"Sucla2","SUCLA2",8803
20917,"Suclg2","SUCLG2",8801
209176,"Ido2","IDO2",169355
20927,"Abcc8","ABCC8",6833
20928,"Abcc9","ABCC9",10060
20937,"Suv39h1","SUV39H1",6839
209558,"Enpp3","ENPP3",5169
20975,"Synj2","SYNJ2",8871
209837,"Slc38a5","SLC38A5",92745
210004,"B3gntl1","B3GNTL1",146712
210044,"Adcy2","ADCY2",108
211347,"Pank3","PANK3",79646
211389,"Suox","SUOX",6821
211429,"Pla2g4b","PLA2G4B",100137049
211488,"Ado","ADO",84890
212032,"Hk3","HK3",3101
212111,"Inpp5a","INPP5A",3632
212647,"Aldh4a1","ALDH4A1",8659
212862,"Chpt1","CHPT1",56994
21351,"Taldo1","TALDO1",6888
21366,"Slc6a6","SLC6A6",6533
214084,"Slc18a2","SLC18A2",6571
214111,"Slc24a1","SLC24A1",9187
214162,"Kmt2a","KMT2A",4297
214253,"Etnk2","ETNK2",55224
214579,"Aldh5a1","ALDH5A1",7915
214593,"Duox2","DUOX2",50506
214663,"Slc25a29","SLC25A29",123096
215015,"Fam20b","FAM20B",9917
215113,"Slc43a2","SLC43A2",124935
215335,"Slc36a1","SLC36A1",206358
215446,"Entpd3","ENTPD3",956
216019,"Hkdc1","HKDC1",80201
216134,"Pdxk","PDXK",8566
216152,"BC005764","LPPR3",79948
216188,"Aldh1l2","ALDH1L2",160428
216225,"Slc5a8","SLC5A8",160728
216227,"Slc17a8","SLC17A8",246213
216343,"Tph2","TPH2",121278
216453,"Rdh19","RDH16",8608
216454,"BC089597","RDH16",8608
216456,"Gls2","GLS2",27165
216558,"Ugp2","UGP2",7360
21672,"Prdx2","PRDX2",7001
216739,"Acsl6","ACSL6",23305
217119,"Xylt2","XYLT2",64132
217214,"Nags","NAGS",162417
217480,"Dgkb","DGKB",1607
217593,"Slc25a21","SLC25A21",89874
217700,"Acot6","ACOT6",641372
217707,"Coq6","COQ6",51004
217837,"Itpk1","ITPK1",3705
218103,"Slc17a2","SLC17A2",10246
218121,"Mboat1","MBOAT1",154141
21823,"Th","TH",7054
218232,"Ptpdc1","PTPDC1",138639
218271,"B4galt7","B4GALT7",11285
218461,"Pde8b","PDE8B",8622
218476,"Gcnt4","GCNT4",51301
21871,"Atp6v0a2","ATP6V0A2",23545
218756,"Slc4a7","SLC4A7",9497
21877,"Tk1","TK1",7083
21881,"Tkt","TKT",7086
21884,"Fabp9","FABP9",646480
218865,"Chdh","CHDH",55349
219135,"Mtmr6","MTMR6",9107
21915,"Dtymk","DTYMK",1841
21990,"Tph1","TPH1",7166
21991,"Tpi1","TPI1",7167
22117,"Tst","TST",7263
22169,"Cmpk2","CMPK2",129607
22171,"Tyms","TYMS",7298
22173,"Tyr","TYR",7299
22227,"Ucp1","UCP1",7350
22228,"Ucp2","UCP2",7351
22229,"Ucp3","UCP3",7352
22232,"Slc35a2","SLC35A2",7355
22234,"Ugcg","UGCG",7357
22235,"Ugdh","UGDH",7358
22236,"Ugt1a2","UGT1A3",54659
22240,"Dpysl3","DPYSL3",1809
22245,"Uck1","UCK1",83549
22247,"Umps","UMPS",7372
22271,"Upp1","UPP1",7378
22272,"Uqcrq","UQCRQ",27089
22273,"Uqcrc1","UQCRC1",7384
22275,"Urod","UROD",7389
22276,"Uros","UROS",7390
22348,"Slc32a1","SLC32A1",140679
22361,"Vnn1","VNN1",8876
223646,"Naprt1","NAPRT1",93100
223753,"Cerk","CERK",64781
223920,"Soat2","SOAT2",8435
224020,"Pi4ka","PI4KA",5297
224024,"Scarf2","SCARF2",91179
224129,"Adcy5","ADCY5",111
224143,"Poglut1","POGLUT1",56983
22436,"Xdh","XDH",7498
224530,"Acat3","ACAT2",39
224661,"Slc26a8","SLC26A8",116369
224674,"Slc37a1","SLC37A1",54020
225010,"Lclat1","LCLAT1",253558
225326,"Pik3c3","PIK3C3",5289
225579,"Slc27a6","SLC27A6",28965
225600,"Pde6a","PDE6A",5145
225742,"St8sia5","ST8SIA5",29906
225791,"Zadh2","ZADH2",284273
225887,"Ndufs8","NDUFS8",4728
225888,"Suv420h1","SUV420H1",51111
225913,"Dak","DAK",26007
22598,"Slc6a18","SLC6A18",348932
225994,"Nmrk1","NMRK1",54981
226413,"Lct","LCT",3938
226518,"Nmnat2","NMNAT2",23057
226646,"Ndufs2","NDUFS2",4720
226999,"Slc9a2","SLC9A2",6549
227095,"Hibch","HIBCH",26275
227120,"Plcl1","PLCL1",5334
227197,"Ndufs1","NDUFS1",4719
227231,"Cps1","CPS1",1373
227327,"B3gnt7","B3GNT7",93010
227333,"Dgkd","DGKD",8527
227399,"Ppip5k2","PPIP5K2",23262
227620,"Uap1l1","UAP1L1",91373
227659,"Slc2a6","SLC2A6",11182
227671,"Gbgt1","GBGT1",26301
227721,"Ppapdc3","PPAPDC3",84814
227733,"Pip5kl1","PIP5KL1",138429
228033,"Atp5g3","ATP5G3",518
228550,"Itpka","ITPKA",3706
228677,"Sptlc3","SPTLC3",55304
229211,"Acad9","ACAD9",28976
229363,"Gmps","GMPS",8833
229665,"Ampd1","AMPD1",270
229709,"Ahcyl1","AHCYL1",10768
229782,"Slc35a3","SLC35A3",23443
229791,"D3Bwg0562e","LPPR4",9890
229949,"Ak5","AK5",26289
230075,"Ndufb6","NDUFB6",4712
230099,"Car9","CA9",768
230101,"Gba2","GBA2",57704
230103,"Npr2","NPR2",4882
230145,"Galnt12","GALNT12",79695
230163,"Aldob","ALDOB",229
230379,"Acer2","ACER2",340485
230612,"Slc5a9","SLC5A9",200010
230718,"Nt5c1a","NT5C1A",84618
230801,"Pigv","PIGV",55650
231050,"Galnt11","GALNT11",63917
231051,"Kmt2c","KMT2C",58508
231086,"Hadhb","HADHB",3032
231327,"Ppat","PPAT",5471
231396,"Ugt2b36","UGT2B7",7364
231583,"Slc26a1","SLC26A1",10861
231605,"Galnt9","GALNT9",50614
231691,"Sds","SDS",10993
231727,"B3gnt4","B3GNT4",79369
231871,"Daglb","DAGLB",221955
232087,"Mat2a","MAT2A",4144
232156,"Slc4a5","SLC4A5",57835
232333,"Slc6a1","SLC6A1",6529
232449,"Dera","DERA",51071
232493,"Gys2","GYS2",2998
232714,"Mgam","MGAM",8972
232811,"Suv420h2","SUV420H2",84787
232975,"Atp1a3","ATP1A3",478
232984,"B3gnt8","B3GNT8",374907
233011,"Itpkc","ITPKC",80271
233016,"Blvrb","BLVRB",645
233549,"Mogat2","MOGAT2",80168
233781,"Xylt1","XYLT1",64131
233799,"Acsm2","ACSM2A",123876
233801,"Acsm4","ACSM4",341392
233836,"Slc5a11","SLC5A11",115584
233904,"Setd1a","SETD1A",9739
234129,"Tpte","TPTE2",93492
234135,"Whsc1l1","WHSC1L1",54904
234309,"Cbr4","CBR4",84869
234356,"Csgalnact1","CSGALNACT1",55790
234515,"Inpp4b","INPP4B",8821
234724,"Tat","TAT",6898
234779,"Plcg2","PLCG2",5336
234889,"Gucy1a2","GUCY1A2",2977
234967,"Slc36a4","SLC36A4",120103
235033,"Rdh8","RDH8",50700
235044,"BC018242","LPPR2",64748
235293,"Sc5d","SC5D",6309
235339,"Dlat","DLAT",1737
235504,"Slc17a5","SLC17A5",26503
235534,"Acpl2","ACPL2",92370
235582,"Glyctk","GLYCTK",132158
235626,"Setd2","SETD2",29072
235674,"Acaa1b","ACAA1",30
236149,"Slc22a26",NA,NA
236293,"Slc22a29","SLC22A25",387601
236539,"Phgdh","PHGDH",26227
236899,"Pcyt1b","PCYT1B",9468
237523,"Ptprq","PTPRQ",374462
237625,"Pla2g3","PLA2G3",50487
237823,"Pfas","PFAS",5198
237831,"Slc13a5","SLC13A5",284111
237928,"Phospho1","PHOSPHO1",162466
237940,"Aoc2","AOC2",314
238011,"Enpp7","ENPP7",339221
238023,"Hexdc","HEXDC",284004
238024,"Fn3krp","FN3KRP",79672
23827,"Bpnt1","BPNT1",10380
23831,"Car14","CA14",23632
238384,"Slc24a4","SLC24A4",123041
238505,"Mtr","MTR",4548
23887,"Ggt5","GGT5",2687
238871,"Pde4d","PDE4D",5144
23900,"Hcst","HCST",10870
23908,"Hs2st1","HS2ST1",9653
239122,"Setdb2","SETDB2",83852
23917,"Impdh1","IMPDH1",3614
23918,"Impdh2","IMPDH2",3615
23923,"Aadat","AADAT",51166
239273,"Abcc4","ABCC4",10257
23945,"Mgll","MGLL",11343
239559,"A4galt","A4GALT",53947
23956,"Neu2","NEU2",4759
23959,"Nt5e","NT5E",4907
239606,"Slc2a13","SLC2A13",114134
23971,"Papss1","PAPSS1",9061
23972,"Papss2","PAPSS2",9060
239827,"Pigz","PIGZ",80235
23984,"Pde10a","PDE10A",10846
23985,"Slc26a4","SLC26A4",5172
23986,"Eci2","ECI2",10455
240215,"Slc4a9","SLC4A9",83697
240332,"Slc6a7","SLC6A7",6534
24059,"Slco2a1","SLCO2A1",6578
24060,"Slc35a1","SLC35A1",10559
240752,"Pik3c2b","PIK3C2B",5287
241159,"Neu4","NEU4",129807
241391,"Galnt5","GALNT5",11227
241447,"Cers6","CERS6",253782
241489,"Pde11a","PDE11A",50940
241612,"Slc5a12","SLC5A12",159963
242202,"Pde5a","PDE5A",8654
242285,"Sdr16c5","SDR16C5",195814
242341,"Atp6v0d2","ATP6V0D2",245972
242585,"Slc35d1","SLC35D1",23169
242607,"Slc1a7","SLC1A7",6512
243078,"Tecrl","TECRL",253017
243085,"Ugt2b35","UGT2B7",7364
243328,"Slc29a4","SLC29A4",222962
243537,"Uroc1","UROC1",131669
243616,"Slc6a11","SLC6A11",6538
243755,"Slc13a4","SLC13A4",26266
245650,"Gucy2f","GUCY2F",2986
245847,"Amdhd2","AMDHD2",51005
246049,"Slc36a2","SLC36A2",153201
246221,"Mpst","MPST",4357
246277,"Csad","CSAD",51380
246696,"Slc25a28","SLC25A28",81894
246787,"Slc5a2","SLC5A2",6524
257635,"Sdsl","SDSL",113675
26357,"Abcg2","ABCG2",9429
26363,"Btd","BTD",686
26378,"Decr2","DECR2",26063
26384,"Gnpda1","GNPDA1",10007
26457,"Slc27a1","SLC27A1",376497
26458,"Slc27a2","SLC27A2",11001
26459,"Slc27a5","SLC27A5",10998
26462,"Txnrd2","TXNRD2",10587
26464,"Vnn3",NA,NA
26565,"Pla2g10","PLA2G10",8399
26568,"Slc27a3","SLC27A3",11000
26569,"Slc27a4","SLC27A4",10999
266645,"Acmsd","ACMSD",130013
266744,"Lgsn","LGSN",51557
268510,"Mgat5b","MGAT5B",146664
268512,"Slc26a11","SLC26A11",284129
268656,"Sptlc1","SPTLC1",10558
26874,"Abcd2","ABCD2",225
268756,"Gulo",NA,NA
26876,"Adh4","ADH4",127
26877,"B3galt1","B3GALT1",8708
26878,"B3galt2","B3GALT2",8707
268782,"Agxt2","AGXT2",64902
26879,"B3galnt1","B3GALNT1",8706
268860,"Abat","ABAT",18
26887,"Chst4","CHST4",10164
269060,"Dagla","DAGLA",747
26912,"Gcat","GCAT",23464
269180,"Inpp4a","INPP4A",3631
26922,"Mecr","MECR",51102
269346,"Slc28a2","SLC28A2",9153
269378,"Ahcy","AHCY",191
26938,"St6galnac5","ST6GALNAC5",81849
269437,"Plch1","PLCH1",23007
269614,"Pank4","PANK4",55229
269615,"Plch2","PLCH2",9651
26970,"Pla2g2e","PLA2G2E",30814
26971,"Pla2g2f","PLA2G2F",64600
269823,"Pon3","PON3",5446
269941,"Chsy1","CHSY1",22856
269951,"Idh2","IDH2",3418
270076,"Gcdh","GCDH",2639
270198,"Pfkfb4","PFKFB4",5210
27053,"Asns","ASNS",440
27060,"Tcirg1","TCIRG1",10312
270685,"Mthfd1l","MTHFD1L",25902
271424,"Ip6k3","IP6K3",117283
271639,"Adcy10","ADCY10",55811
271786,"Galnt13","GALNT13",114805
27222,"Atp1a4","ATP1A4",480
27226,"Pla2g7","PLA2G7",7941
272411,"B3gnt6","B3GNT6",192134
272428,"Acsm5","ACSM5",54988
27357,"Gyg","GYG1",2992
27369,"Dguok","DGUOK",1716
27376,"Slc25a10","SLC25A10",1468
27388,"Ptdss2","PTDSS2",81490
27399,"Ip6k1","IP6K1",9807
27402,"Pdhx","PDHX",8050
27404,"Abca8b","ABCA8",10351
27409,"Abcg5","ABCG5",64240
27410,"Abca3","ABCA3",21
27411,"Slc14a2","SLC14A2",8170
27413,"Abcb11","ABCB11",8647
27416,"Abcc5","ABCC5",10057
27425,"Atp5l","ATP5L",10632
277973,"Slc9a5","SLC9A5",6553
28042,"Ept1","EPT1",85465
280645,"B3gat2","B3GAT2",135152
28080,"Atp5o","ATP5O",539
28169,"Agpat3","AGPAT3",56894
28200,"Dhrs4","DHRS4",10901
28253,"Slco1b2","SLCO1B3",28234
29807,"Tpk1","TPK1",27010
29859,"Sult4a1","SULT4A1",25830
29863,"Pde7b","PDE7B",27115
30805,"Slc22a4","SLC22A4",6583
30955,"Pik3cg","PIK3CG",5294
30956,"Aass","AASS",10157
30962,"Slc7a9","SLC7A9",11136
30963,"Ptpla","PTPLA",9200
319415,"Hs3st5","HS3ST5",222537
319446,"Dpep2","DPEP2",64174
319518,"Pdpr","PDPR",55066
319554,"Idi1","IDI1",3422
319800,"Slc22a30","SLC22A25",387601
319848,"Slc17a4","SLC17A4",10050
319945,"Flad1","FLAD1",80308
320011,"Uggt1","UGGT1",56886
320127,"Dgki","DGKI",9162
320207,"Pik3r5","PIK3R5",23533
320208,"Tmem91","TMEM91",641649
320404,"Itpkb","ITPKB",3707
320452,"P4ha3","P4HA3",283208
320581,"Idi2",NA,NA
320634,"Ocrl","OCRL",4952
320635,"Cyb5r2","CYB5R2",51700
320685,"Dctd","DCTD",1635
320707,"Atp2b3","ATP2B3",492
320718,"Slc26a9","SLC26A9",115019
320940,"Atp11c","ATP11C",286410
320951,"Pisd","PISD",23761
320981,"Enpp6","ENPP6",133121
320997,"Cyp4f39","CYP4F22",126410
327655,"Ppip5k1","PPIP5K1",9677
327951,"Cyb5d1","CYB5D1",124637
328035,"Fads6","FADS6",283985
328779,"Hs3st6","HS3ST6",64711
328845,"Acsbg2","ACSBG2",81616
329502,"Pla2g4e","PLA2G4E",123745
329506,"Ctdspl2","CTDSPL2",51496
330064,"Slc5a6","SLC5A6",8884
330406,"B4galnt3","B4GALNT3",283358
330671,"B4galnt4","B4GALNT4",338707
330836,"Slc7a6","SLC7A6",9057
330962,"Slc51b","SLC51B",123264
331487,"Uprt","UPRT",139596
333182,"Cox6b2","COX6B2",125965
333424,"A4gnt","A4GNT",51146
338366,"Mia3","MIA3",375056
338375,"Atp6v1g3","ATP6V1G3",127124
338403,"Cndp1","CNDP1",84735
353169,"Slc2a12","SLC2A12",154091
353371,"Oxct2b","OXCT2",64064
380660,"Acss3","ACSS3",79611
380921,"Dgkh","DGKH",160851
381022,"Kmt2d","KMT2D",8085
381290,"Atp2b4","ATP2B4",493
381694,"B3galtl","B3GALTL",145173
381925,"Ppapdc1a","PPAPDC1A",196051
382985,"Rrm2b","RRM2B",50484
394430,"Ugt1a10","UGT1A10",54575
394432,"Ugt1a7c",NA,NA
394433,"Ugt1a5","UGT1A4",54657
394434,"Ugt1a9","UGT1A10",54575
394435,"Ugt1a6b","UGT1A6",54578
394436,"Ugt1a1","UGT1A1",54658
407785,"Ndufs6","NDUFS6",4726
432530,"Adcy1","ADCY1",107
433022,"Plcxd2","PLCXD2",257068
433182,"Gm5506","ENO1",2023
433256,"Acsl5","ACSL5",51703
433323,"Sgpp2","SGPP2",130367
434203,"Slc28a1","SLC28A1",9154
434264,"Sult2a5","SULT2A1",6822
434437,"Amt","AMT",275
434674,"Slc22a28","SLC22A25",387601
435818,"Slc2a7","SLC2A7",155184
436008,"Sdr42e2","SDR42E2",100288072
50493,"Txnrd1","TXNRD1",7296
50770,"Atp11a","ATP11A",23250
50773,"Nt5c","NT5C",30833
50784,"Ppap2c","PPAP2C",8612
50785,"Hs6st1","HS6ST1",9394
50786,"Hs6st2","HS6ST2",90161
50787,"Hs6st3","HS6ST3",266722
50790,"Acsl4","ACSL4",2182
50798,"Gne","GNE",10020
50799,"Slc25a13","SLC25A13",10165
50877,"Neu3","NEU3",10825
50917,"Galns","GALNS",2588
50934,"Slc7a8","SLC7A8",23428
50935,"St6galnac6","ST6GALNAC6",30815
51797,"Ctps","CTPS1",1503
51798,"Ech1","ECH1",1891
52123,"Agpat5","AGPAT5",55326
52466,"Slc46a1","SLC46A1",113235
52538,"Acaa2","ACAA2",10449
52633,"Nit2","NIT2",56954
52710,"Slc52a2","SLC52A2",79581
52815,"Ldhd","LDHD",197257
52858,"Cdipt","CDIPT",10423
53332,"Mtmr1","MTMR1",8776
53357,"Pla2g6","PLA2G6",8398
53374,"Chst3","CHST3",9469
53415,"Htatip2","HTATIP2",10553
53418,"B4galt2","B4GALT2",8704
53625,"B3gnt2","B3GNT2",10678
53881,"Slc5a3","SLC5A3",6526
53893,"Nudt5","NUDT5",11164
53896,"Slc7a10","SLC7A10",56301
53897,"Gal3st1","GAL3ST1",9514
53945,"Slc40a1","SLC40A1",30061
54122,"Uevld","UEVLD",55293
54150,"Rdh7",NA,NA
54195,"Gucy1b3","GUCY1B3",2983
54200,"Sult2b1","SULT2B1",6820
54218,"B3galt4","B3GALT4",8705
54325,"Elovl1","ELOVL1",64834
54326,"Elovl2","ELOVL2",54898
54338,"Slc23a2","SLC23A2",9962
54342,"Gnpnat1","GNPNAT1",64841
54369,"Nme6","NME6",10201
54371,"Chst2","CHST2",9435
54384,"Mtmr7","MTMR7",9108
54391,"Rfk","RFK",55312
54397,"Ppt2","PPT2",9374
54403,"Slc4a4","SLC4A4",8671
54405,"Ndufa1","NDUFA1",4694
54447,"Asah2","ASAH2",56624
54486,"Hpgds","HPGDS",27306
545975,"Cers3","CERS3",204219
54611,"Pde3a","PDE3A",5139
54616,"Extl3","EXTL3",2137
54667,"Atp8b2","ATP8B2",57198
54670,"Atp8b1","ATP8B1",5205
54710,"Hs3st3b1","HS3ST3B1",9953
55936,"Ctps2","CTPS2",56474
55951,"Mpc1","MPC1",51660
55961,"Slc13a1","SLC13A1",6561
55963,"Slc1a4","SLC1A4",6509
55979,"Agpat1","AGPAT1",10554
55980,"Impa1","IMPA1",3612
55981,"Pigb","PIGB",9488
56012,"Pgam2","PGAM2",5224
56017,"Slc2a8","SLC2A8",29988
56050,"Cyp39a1","CYP39A1",51302
56077,"Dgke","DGKE",8526
56078,"Car5b","CA5B",11238
56174,"Nagk","NAGK",55577
56185,"Hao2","HAO2",51179
56189,"Prodh2","PRODH2",58510
56219,"Extl1","EXTL1",2134
56248,"Ak3","AK3",50808
56315,"Rhcg","RHCG",51458
56318,"Acpp","ACPP",55
56336,"B4galt5","B4GALT5",9334
56348,"Hsd17b12","HSD17B12",51144
56351,"Ptges3","PTGES3",10728
56356,"Gltp","GLTP",51228
56357,"Ivd","IVD",3712
56362,"Sult1b1","SULT1B1",27284
56375,"B4galt4","B4GALT4",8702
56386,"B4galt6","B4GALT6",9331
56421,"Pfkp","PFKP",5214
56451,"Suclg1","SUCLG1",8802
56454,"Aldh18a1","ALDH18A1",5832
56473,"Fads2","FADS2",9415
56485,"Slc2a5","SLC2A5",6518
56520,"Nme4","NME4",4833
56529,"Sec11a","SEC11A",23478
56632,"Sphk2","SPHK2",56848
56690,"Mlycd","MLYCD",23417
56720,"Tdo2","TDO2",6999
56727,"Miox","MIOX",55586
56749,"Dhodh","DHODH",1723
56752,"Aldh9a1","ALDH9A1",223
56773,"Chst5","CHST6",4166
56774,"Slc6a14","SLC6A14",11254
56794,"Hacl1","HACL1",26061
56847,"Aldh1a3","ALDH1A3",220
57028,"Pdxp","PDXP",57026
57138,"Slc12a5","SLC12A5",57468
57274,"Slc16a8","SLC16A8",23539
57279,"Slc25a20","SLC25A20",788
57370,"B4galt3","B4GALT3",8703
57394,"Tmem27","TMEM27",57393
57423,"Atp5j2","ATP5J2",9551
57738,"Slc15a2","SLC15A2",6565
57813,"Tk2","TK2",7084
57874,"Ptplad1","PTPLAD1",51495
58176,"Rhbg","RHBG",57127
58193,"Extl2","EXTL2",2135
58246,"Slc35b4","SLC35B4",84912
58807,"Slco1c1","SLCO1C1",53919
58810,"Akr1a1","AKR1A1",10327
58865,"Tdh",NA,NA
58875,"Hibadh","HIBADH",11112
58994,"Smpd3","SMPD3",55512
59012,"Moxd1","MOXD1",26002
59027,"Nampt","NAMPT",10135
59033,"Slc4a8","SLC4A8",9498
59045,"Stard3","STARD3",10948
595136,"Ndufs5","NDUFS5",4725
60525,"Acss2","ACSS2",55902
60527,"Fads3","FADS3",3995
60596,"Gucy1a3","GUCY1A3",2982
621603,"Aldh3b2",NA,NA
622127,"Cyp3a57",NA,NA
625249,"Gpx4","GPX4",2879
628779,"Hs3st4","HS3ST4",9951
631304,"Cyp4f40","CYP4F11",57834
63828,"Fn3k","FN3K",64122
63959,"Slc29a1","SLC29A1",2030
63993,"Slc5a7","SLC5A7",60482
64008,"Aqp9","AQP9",366
64292,"Ptges","PTGES",9536
64385,"Cyp4f14","CYP4F12",66002
64436,"Inpp5e","INPP5E",56623
64580,"Ndst4","NDST4",64579
64602,"Ireb2","IREB2",3658
64705,"Dpys","DPYS",1807
64707,"Suv39h2","SUV39H2",79723
64898,"Lpin2","LPIN2",9663
64899,"Lpin3","LPIN3",64900
64918,"Bhmt2","BHMT2",23743
654821,"Gcnt7","GCNT7",140687
66043,"Atp5d","ATP5D",513
66046,"Ndufb5","NDUFB5",4711
66052,"Sdhc","SDHC",6391
66054,"Cndp2","CNDP2",55748
66065,"Hsd17b14","HSD17B14",51171
66091,"Ndufa3","NDUFA3",4696
66108,"Ndufa9","NDUFA9",4704
66142,"Cox7b","COX7B",1349
66144,"Atp6v1f","ATP6V1F",9296
66152,"Uqcr10","UQCR10",29796
66171,"Pgls","PGLS",25796
66190,"Acer3","ACER3",55331
66194,"Pycrl","PYCRL",65263
66204,"Acyp1","ACYP1",97
66218,"Ndufb9","NDUFB9",4715
66234,"Sc4mol","MSMO1",6307
66237,"Atp6v1g2","ATP6V1G2",534
66248,"Alg5","ALG5",29880
66286,"Sec11c","SEC11C",90701
66290,"Atp6v1g1","ATP6V1G1",9550
66335,"Atp6v1c1","ATP6V1C1",528
66350,"Pla2g12a","PLA2G12A",81579
66355,"Gmpr","GMPR",2766
66377,"Ndufc1","NDUFC1",4717
66411,"Tbcb","TBCB",1155
66414,"Ndufa12","NDUFA12",55967
66416,"Ndufa7","NDUFA7",4701
66422,"Dctpp1","DCTPP1",79077
66435,"Uggt2","UGGT2",55757
66445,"Cyc1","CYC1",1537
66454,"Nmnat1","NMNAT1",64802
66461,"Ptpmt1","PTPMT1",114971
66495,"Ndufb3","NDUFB3",4709
66514,"Asrgl1","ASRGL1",80150
665563,"Mthfd2l","MTHFD2L",441024
66576,"Uqcrh","UQCRHL",440567
66586,"Crls1","CRLS1",54675
66588,"Cmpk1","CMPK1",51727
66594,"Uqcr11","UQCR11",10975
666168,"Cyp4a31","CYP4A11",1579
66624,"Spcs2","SPCS2",9789
66646,"Rpe","RPE",6120
66659,"Acp6","ACP6",51205
66681,"Pgm1","PGM2",55276
66694,"Uqcrfs1","UQCRFS1",7386
667034,"Pnp2","PNP",4860
66775,"Ptplad2","PTPLAD2",401494
66812,"Ppcdc","PPCDC",60490
66834,"Acot13","ACOT13",55856
66841,"Etfdh","ETFDH",2110
66853,"Pnpla2","PNPLA2",57104
66865,"Pmpca","PMPCA",23203
66885,"Acadsb","ACADSB",36
66902,"Mtap","MTAP",4507
66916,"Ndufb7","NDUFB7",4713
66925,"Sdhd","SDHD",6392
66945,"Sdha","SDHA",6389
66948,"Acad8","ACAD8",27034
67003,"Uqcrc2","UQCRC2",7385
67041,"Oxct1","OXCT1",5019
67044,"Higd2a","HIGD2A",192286
67053,"Rpp14","RPP14",11102
67054,"Paics","PAICS",10606
67092,"Gatm","GATM",2628
67115,"Rpl14","RPL14",9045
67126,"Atp5f1e","ATP5F1E",514
67130,"Ndufa6","NDUFA6",4700
67184,"Ndufa13","NDUFA13",51079
67216,"Mboat2","MBOAT2",129642
67260,"Cers4","CERS4",79603
67264,"Ndufb8","NDUFB8",4714
67273,"Ndufa10","NDUFA10",4705
67283,"Slc25a19","SLC25A19",60386
67305,"Gpx7","GPX7",2882
67311,"Nanp","NANP",140838
67375,"Qprt","QPRT",23475
67460,"Decr1","DECR1",1666
67464,"Entpd4","ENTPD4",9583
67469,"Abhd5","ABHD5",51099
67470,"Abcg8","ABCG8",64241
67512,"Agpat2","AGPAT2",10555
67530,"Uqcrb","UQCRB",7381
67555,"4933434I20Rik","LOC152586",152586
67556,"Pigm","PIGM",93183
67569,"Mgat4c","MGAT4C",25834
67582,"Slc25a26","SLC25A26",115286
67680,"Sdhb","SDHB",6390
67689,"Aldh3b1","ALDH3B1",221
67712,"Slc25a37","SLC25A37",51312
67717,"Lipf","LIPF",8513
67758,"Aadac","AADAC",13
67760,"Slc38a2","SLC38A2",54407
67800,"Dgat2","DGAT2",84649
67821,"Atp1b4","ATP1B4",23439
67834,"Idh3a","IDH3A",3419
67861,"Akr1b10",NA,NA
67863,"Slc25a11","SLC25A11",8402
67870,"Enoph1","ENOPH1",58478
67880,"Dcxr","DCXR",51181
67881,"Mdp1","MDP1",145553
67883,"Uxs1","UXS1",80146
67895,"Ppa1","PPA1",5464
67909,"Galntl5","GALNTL5",168391
67916,"Ppap2b","PPAP2B",8613
67942,"Atp5g2","ATP5G2",517
67956,"Setd8","SETD8",387893
67972,"Atp2b1","ATP2B1",490
67980,"Gnpda2","GNPDA2",132789
67993,"Nudt12","NUDT12",83594
68018,"Col4a3bp","COL4A3BP",10087
68055,"Atp5s","ATP5S",27109
68133,"Gcsh","GCSH",2653
68194,"Ndufb4","NDUFB4",4710
68197,"Ndufc2","NDUFC2",4718
68198,"Ndufb2","NDUFB2",4708
68202,"Ndufa5","NDUFA5",4698
68262,"Agpat4","AGPAT4",56895
68263,"Pdhb","PDHB",5162
68267,"Slc25a22","SLC25A22",79751
68273,"Pomgnt1","POMGNT1",55624
68292,"Stt3b","STT3B",201595
68342,"Ndufb10","NDUFB10",4716
68349,"Ndufs3","NDUFS3",4722
68375,"Ndufa8","NDUFA8",4702
68393,"Mogat1","MOGAT1",116255
68401,"G6pc3","G6PC3",92579
68556,"Uckl1","UCKL1",54963
68603,"Pmvk","PMVK",10654
68671,"Pcyt2","PCYT2",5833
68738,"Acss1","ACSS1",84532
68775,"Atp6v1c2","ATP6V1C2",245973
68801,"Elovl5","ELOVL5",60481
68977,"Haghl","HAGHL",84264
69019,"Spcs1","SPCS1",28972
69051,"Pycr2","PYCR2",29920
69060,"Pnlip","PNLIP",5406
69083,"Sult1c2","SULT1C2",6819
69156,"Comtd1","COMTD1",118881
69188,"Kmt2e","KMT2E",55904
69215,"Sat2","SAT2",112483
69354,"Slc38a4","SLC38A4",55089
69367,"Glrx2","GLRX2",51022
69519,"Rwdd2a","RWDD2A",112611
